time,EURUSD
2018-01-01 22:00:00,1.2014550238693125
2018-01-02 04:00:00,1.20100376913509
2018-01-02 10:00:00,1.2029139474067356
2018-01-02 16:00:00,1.2074666382806523
2018-01-02 22:00:00,1.2067238118959245
2018-01-03 04:00:00,1.2059814919924545
2018-01-03 10:00:00,1.2107158347130775
2018-01-03 16:00:00,1.2130045372111902
2018-01-03 22:00:00,1.2115453390588142
2018-01-04 04:00:00,1.2131533991583432
2018-01-04 10:00:00,1.211712369216755
2018-01-04 16:00:00,1.2102660554437177
2018-01-04 22:00:00,1.2109620443167985
2018-01-05 04:00:00,1.2051474457047273
2018-01-05 10:00:00,1.1999256858961727
2018-01-05 16:00:00,1.1982041661075022
2018-01-05 22:00:00,1.1951382031076625
2018-01-06 04:00:00,1.196041612716039
2018-01-06 10:00:00,1.1932938062899505
2018-01-06 16:00:00,1.1890523302462617
2018-01-06 22:00:00,1.1933813527197206
2018-01-07 04:00:00,1.192672169016652
2018-01-07 10:00:00,1.1928377478700736
2018-01-07 16:00:00,1.1885609147068292
2018-01-07 22:00:00,1.186908827064503
2018-01-08 04:00:00,1.187202393600766
2018-01-08 10:00:00,1.1837556348296001
2018-01-08 16:00:00,1.1848324482455288
2018-01-08 22:00:00,1.1830191517223383
2018-01-09 04:00:00,1.1821213037983116
2018-01-09 10:00:00,1.1803090052768068
2018-01-09 16:00:00,1.1857517581842956
2018-01-09 22:00:00,1.18567617714555
2018-01-10 04:00:00,1.1825095862915913
2018-01-10 10:00:00,1.1849082085313543
2018-01-10 16:00:00,1.1812618143086366
2018-01-10 22:00:00,1.1818433260135213
2018-01-11 04:00:00,1.1760321469971347
2018-01-11 10:00:00,1.1720984857831442
2018-01-11 16:00:00,1.1726402999106427
2018-01-11 22:00:00,1.174771945006469
2018-01-12 04:00:00,1.1752400917241133
2018-01-12 10:00:00,1.174865108112057
2018-01-12 16:00:00,1.1739458314272317
2018-01-12 22:00:00,1.1695794914436743
2018-01-13 04:00:00,1.167441572876536
2018-01-13 10:00:00,1.1660629421544197
2018-01-13 16:00:00,1.1691136215800308
2018-01-13 22:00:00,1.1700832721155567
2018-01-14 04:00:00,1.1649024139238242
2018-01-14 10:00:00,1.1658116369933698
